file_name,libressl_3,boringssl_0,sim_value
e_aes.c_e_aes.c,aes_gcm_ctrl,aes_gcm_ctrl,0.9076902618310121
pcy_node.c_pcy_node.c,level_add_node,level_add_node,0.9067827909394268
bn_sqrt.c_sqrt.c,BN_mod_sqrt,BN_mod_sqrt,0.9059663395696735
p5_crpt2.c_pbkdf.c,PKCS5_PBKDF2_HMAC,PKCS5_PBKDF2_HMAC,0.9039143382642592
rsa_pss.c_padding.c,RSA_padding_add_PKCS1_PSS_mgf1,RSA_padding_add_PKCS1_PSS_mgf1,0.9033315530656882
a_d2i_fp.c_a_d2i_fp.c,asn1_d2i_read_bio,asn1_d2i_read_bio,0.9031165289282166
ecp_oct.c_oct.c,ec_GFp_simple_set_compressed_coordinates,ec_GFp_simple_set_compressed_coordinates,0.9011762411546078
x509_alt.c_v3_alt.c,v2i_issuer_alt,v2i_issuer_alt,0.8984617969323678
bn_mont.c_montgomery.c,BN_from_montgomery_word,BN_from_montgomery_word,0.8977868635098234
x509_pmaps.c_v3_pmaps.c,v2i_POLICY_MAPPINGS,v2i_POLICY_MAPPINGS,0.8931412822763122
tasn_fre.c_tasn_fre.c,asn1_item_combine_free,asn1_item_combine_free,0.8903884591796785
bn_exp2.c_exponentiation.c,BN_mod_exp2_mont,BN_mod_exp_mont,0.8879856553044333
ecp_smpl.c_simple.c,ec_GFp_simple_points_make_affine,ec_GFp_simple_points_make_affine,0.8830840384543158
t_req.c_t_req.c,X509_REQ_print_ex,X509_REQ_print_ex,0.8822048032558417
x509_pci.c_v3_pci.c,r2i_pci,r2i_pci,0.8815444344532557
pem_lib.c_pem_lib.c,PEM_do_header,PEM_do_header,0.8795215913353294
ec_mult.c_wnaf.c,compute_wNAF,compute_wNAF,0.8755235065967838
e_aes.c_e_aes.c,aead_aes_gcm_open,aead_aes_gcm_open,0.8755009730961792
t_crl.c_t_crl.c,X509_CRL_print,X509_CRL_print,0.8743075740128861
t_x509.c_t_x509.c,X509_print_ex,X509_print_ex,0.8741688712465221
x509_alt.c_v3_alt.c,i2v_GENERAL_NAME,i2v_GENERAL_NAME,0.8731134954606024
x509_cpols.c_v3_cpols.c,policy_section,policy_section,0.8671076423371902
x509_info.c_v3_info.c,i2v_AUTHORITY_INFO_ACCESS,i2v_AUTHORITY_INFO_ACCESS,0.8631552400988065
ctr128.c_ctr.c,CRYPTO_ctr128_encrypt_ctr32,CRYPTO_ctr128_encrypt_ctr32,0.8609385163242611
ec_pmeth.c_p_ec.c,pkey_ec_derive,pkey_ec_derive,0.8601235653014548
rsa_oaep.c_padding.c,RSA_padding_add_PKCS1_OAEP_mgf1,RSA_padding_add_PKCS1_OAEP_mgf1,0.8550618714202016
ec_mult.c_wnaf.c,ec_wNAF_mul,ec_wNAF_mul,0.850526064336723
x509_vfy.c_x509_vfy.c,internal_verify,internal_verify,0.8376261874017781
rsa_oaep.c_padding.c,RSA_padding_check_PKCS1_OAEP_mgf1,RSA_padding_check_PKCS1_OAEP_mgf1,0.8332895475224116
bn_exp.c_exponentiation.c,BN_mod_exp_mont_consttime,BN_mod_exp_mont_consttime,0.8304400875649209
ecs_ossl.c_ecdsa.c,ecdsa_sign_setup,ecdsa_sign_setup,0.8286642424068629
bio_b64.c_base64_bio.c,b64_write,b64_write,0.8277082269846749
bio_b64.c_base64_bio.c,b64_read,b64_read,0.8271933644952065
pem_lib.c_pem_lib.c,PEM_read_bio,PEM_read_bio,0.8230891430716977
cfb64ede.c_cfb64ede.c,DES_ede3_cfb_encrypt,DES_ede3_cfb_encrypt,0.816737713643896
bss_conn.c_connect.c,conn_state,conn_state,0.8126391113753533
ssl_cert.c_ssl_cert.c,ssl_cert_dup,ssl_cert_dup,0.80081088993619
