file_name,openssl_101f,boringssl_0,sim_value
t_x509.c_t_x509.c,X509_print_ex,X509_print_ex,0.870383615459476
rsa_pmeth.c_p_rsa.c,pkey_rsa_sign,pkey_rsa_sign,0.8672700412574359
bn_exp.c_exponentiation.c,BN_mod_exp_mont_consttime,BN_mod_exp_mont_consttime,0.8621119481567876
rsa_pmeth.c_p_rsa.c,pkey_rsa_ctrl,pkey_rsa_ctrl,0.8592707682267393
ecs_ossl.c_ecdsa.c,ecdsa_sign_setup,ecdsa_sign_setup,0.8581805075692046
ec_mult.c_wnaf.c,compute_wNAF,compute_wNAF,0.8546788968983119
t_x509.c_t_x509.c,X509_ocspid_print,X509_ocspid_print,0.8518983926695618
a_d2i_fp.c_a_d2i_fp.c,asn1_d2i_read_bio,asn1_d2i_read_bio,0.8509356649571691
ctr128.c_ctr.c,CRYPTO_ctr128_encrypt_ctr32,CRYPTO_ctr128_encrypt_ctr32,0.849741315512228
bn_div.c_div.c,BN_div,BN_div,0.8416725082486302
pem_lib.c_pem_lib.c,PEM_read_bio,PEM_read_bio,0.8407270252272618
bio_b64.c_base64_bio.c,b64_read,b64_read,0.8345213901639514
bss_conn.c_connect.c,conn_state,conn_state,0.8238787951045464
asn1_gen.c_asn1_gen.c,asn1_str2type,asn1_str2type,0.823675999085873
e_aes.c_e_aes.c,aes_gcm_ctrl,aes_gcm_ctrl,0.8165836322647977
