file_name,boringssl_0,gmssl,sim_value
x509_lu.c_x509_lu.c,X509_STORE_get1_certs,X509_STORE_CTX_get1_certs,0.8689147709152926
simple.c_ec2_smpl.c,ec_GFp_simple_dbl,ec_GF2m_simple_is_on_curve,0.8682724169098701
ecdsa.c_ecdsa_ossl.c,ecdsa_sign_setup,ecdsa_sign_setup,0.8677394986752722
a_int.c_a_bitstr.c,d2i_ASN1_UINTEGER,c2i_ASN1_BIT_STRING,0.8660075948749515
tasn_new.c_tasn_fre.c,asn1_item_ex_combine_new,asn1_item_embed_free,0.8621565700249403
v3_info.c_v3_info.c,v2i_AUTHORITY_INFO_ACCESS,v2i_AUTHORITY_INFO_ACCESS,0.8605269908632625
x_crl.c_x_crl.c,crl_set_issuers,crl_set_issuers,0.8600690844896246
div.c_bn_div.c,BN_div,BN_div,0.856549467456363
oct.c_ec2_oct.c,ec_GFp_simple_oct2point,ec_GF2m_simple_set_compressed_coordinates,0.8554222864233776
gcm.c_gcm128.c,CRYPTO_gcm128_encrypt_ctr32,CRYPTO_gcm128_aad,0.8543236708042088
v3_skey.c_v3_skey.c,s2i_skey_id,s2i_skey_id,0.8543068121059904
oct.c_ec2_oct.c,ec_GFp_simple_point2oct,ec_GF2m_simple_set_compressed_coordinates,0.8536178469546003
a_strex.c_a_strex.c,do_buf,do_buf,0.8524993391817213
v3name_test.c_v3nametest.c,set_altname,set_altname,0.851465418448816
by_dir.c_by_dir.c,add_cert_dir,add_cert_dir,0.8513119344196409
simple.c_ec2_smpl.c,ec_GFp_simple_add,ec_GF2m_simple_is_on_curve,0.8508409113130919
sqrt.c_bn_gcd.c,BN_mod_sqrt,int_bn_mod_inverse,0.8502316030750593
dsa.c_dsa_ossl.c,DSA_do_sign,dsa_do_sign,0.8455925422192339
ssl_cert.c_ssl_cert.c,ssl_verify_cert_chain,ssl_verify_cert_chain,0.8450077990405405
pcy_cache.c_pcy_cache.c,policy_cache_create,policy_cache_create,0.8440533240289245
gcm.c_gcm128.c,CRYPTO_gcm128_decrypt,CRYPTO_gcm128_aad,0.8433601198701666
gcm.c_gcm128.c,CRYPTO_gcm128_encrypt,CRYPTO_gcm128_aad,0.8422312066298603
rsa_impl.c_rsa_ossl.c,rsa_default_encrypt,rsa_ossl_public_encrypt,0.8416532877499838
x509_r2x.c_x509_r2x.c,X509_REQ_to_X509,X509_REQ_to_X509,0.840841400667109
gcm.c_gcm128.c,CRYPTO_gcm128_decrypt,CRYPTO_gcm128_encrypt_ctr32,0.839869882450329
gcm.c_gcm128.c,CRYPTO_gcm128_decrypt,CRYPTO_gcm128_decrypt_ctr32,0.8398631259691407
wnaf.c_bn_intern.c,compute_wNAF,bn_compute_wNAF,0.8398562275474191
gcm.c_gcm128.c,CRYPTO_gcm128_encrypt,CRYPTO_gcm128_encrypt_ctr32,0.8377867189158502
oct.c_ecp_oct.c,ec_GFp_simple_oct2point,ec_GFp_simple_point2oct,0.8356340597934311
gcm.c_gcm128.c,CRYPTO_gcm128_encrypt,CRYPTO_gcm128_decrypt_ctr32,0.8355166630724096
ctr.c_ctr128.c,CRYPTO_ctr128_encrypt_ctr32,CRYPTO_ctr128_encrypt_ctr32,0.8341690443297993
gcm.c_gcm128.c,CRYPTO_gcm128_aad,CRYPTO_gcm128_encrypt_ctr32,0.8333167668555725
oct.c_ec2_oct.c,ec_GFp_simple_oct2point,ec_GF2m_simple_point2oct,0.8332451914533177
a_strex.c_a_strex.c,do_print_ex,do_print_ex,0.8329160647492138
tasn_fre.c_tasn_new.c,asn1_item_combine_free,asn1_item_embed_new,0.8315896489226027
pem_lib.c_pem_lib.c,PEM_read_bio,PEM_read_bio,0.8307326294803093
tasn_fre.c_tasn_enc.c,ASN1_primitive_free,asn1_ex_i2c,0.8272097182641507
x509_lu.c_x509_lu.c,X509_STORE_get1_crls,X509_STORE_CTX_get1_crls,0.8263849486516237
prime.c_bn_prime.c,probable_prime,probable_prime,0.8257494712805101
rsa_impl.c_rsa_ossl.c,RSA_verify_raw,rsa_ossl_public_encrypt,0.8257140728392294
gcm.c_gcm128.c,CRYPTO_gcm128_aad,CRYPTO_gcm128_decrypt_ctr32,0.8254474310157779
x509_req.c_x509_req.c,X509_to_X509_REQ,X509_to_X509_REQ,0.8247160557397103
pem_lib.c_pem_lib.c,PEM_ASN1_write_bio,PEM_ASN1_write_bio,0.8235622781961163
oct.c_ec2_oct.c,ec_GFp_simple_set_compressed_coordinates,ec_GF2m_simple_set_compressed_coordinates,0.8224936203281918
gcm.c_gcm128.c,CRYPTO_gcm128_decrypt_ctr32,CRYPTO_gcm128_aad,0.8223055195679516
pem_lib.c_pem_lib.c,PEM_do_header,PEM_do_header,0.8216903847012726
base64_bio.c_bio_b64.c,b64_read,b64_read,0.8207382583598924
t_req.c_t_req.c,X509_REQ_print_ex,X509_REQ_print_ex,0.8197015731837684
gcm.c_gcm128.c,CRYPTO_gcm128_aad,CRYPTO_gcm128_setiv,0.8173986618645026
x509_vfy.c_x509_vfy.c,check_trust,check_trust,0.813290011391943
gcm.c_gcm128.c,CRYPTO_gcm128_setiv,CRYPTO_gcm128_aad,0.8107069464428267
pem_pk8.c_pem_pkey.c,d2i_PKCS8PrivateKey_bio,PEM_read_bio_PrivateKey,0.8101899635523468
v3_pci.c_v3_pci.c,process_pci_value,process_pci_value,0.8094346604094509
a_utctm.c_ts_rsp_sign.c,ASN1_UTCTIME_adj,TS_RESP_set_genTime_with_precision,0.8081416776266939
x_name.c_x_name.c,x509_name_ex_d2i,x509_name_ex_d2i,0.8058226120389111
x509_vfy.c_x509_vfy.c,get_crl_score,crl_akid_check,0.8057015964264223
simple.c_ec2_oct.c,ec_GFp_simple_is_on_curve,ec_GF2m_simple_set_compressed_coordinates,0.8054521027770083
tasn_enc.c_tasn_fre.c,asn1_ex_i2c,asn1_primitive_free,0.8053974583748407
tasn_fre.c_tasn_new.c,ASN1_primitive_free,asn1_primitive_new,0.8048918704824469
oct.c_ecp_oct.c,ec_GFp_simple_oct2point,ec_GFp_simple_set_compressed_coordinates,0.8047190369814962
tasn_fre.c_tasn_prn.c,ASN1_primitive_free,asn1_primitive_print,0.8041860792537197
tasn_new.c_tasn_fre.c,ASN1_primitive_new,asn1_primitive_free,0.8041374767609619
tasn_new.c_tasn_dec.c,ASN1_primitive_new,asn1_ex_c2i,0.8040414305073945
simple.c_ecp_oct.c,ec_GFp_simple_is_on_curve,ec_GFp_simple_set_compressed_coordinates,0.8033144317776739
oct.c_ec2_oct.c,ec_GFp_simple_set_compressed_coordinates,ec_GF2m_simple_oct2point,0.8019739600143772
pem_pkey.c_pem_pk8.c,PEM_read_bio_PrivateKey,d2i_PKCS8PrivateKey_bio,0.8016599207754143
asn1_gen.c_asn1_gen.c,asn1_str2type,asn1_str2type,0.8014908263309921
oct.c_ecp_oct.c,ec_GFp_simple_point2oct,ec_GFp_simple_set_compressed_coordinates,0.8006258740889529
simple.c_ec2_oct.c,ec_GFp_simple_cmp,ec_GF2m_simple_oct2point,0.8002553131499183
