file_name,openssl_101f,gmssl,sim_value
rand_unix.c_rand_unix.c,RAND_poll,RAND_poll,0.9765820628092184
rsa_eay.c_rsa_ossl.c,RSA_eay_public_encrypt,rsa_ossl_public_encrypt,0.9762191901927539
bftest.c_bftest.c,test,test,0.9758682140206061
rc2cfb64.c_rc2cfb64.c,RC2_cfb64_encrypt,RC2_cfb64_encrypt,0.9757001159029361
gcm128.c_gcm128.c,CRYPTO_gcm128_decrypt_ctr32,CRYPTO_gcm128_decrypt_ctr32,0.975518911955733
gcm128.c_gcm128.c,CRYPTO_gcm128_encrypt_ctr32,CRYPTO_gcm128_encrypt_ctr32,0.9754373089513976
bn_mont.c_bn_mont.c,BN_MONT_CTX_set,BN_MONT_CTX_set,0.9754121008412981
ts_rsp_verify.c_ts_rsp_verify.c,int_TS_RESP_verify_token,int_ts_RESP_verify_token,0.9751029193018876
gcm128.c_gcm128.c,CRYPTO_gcm128_decrypt_ctr32,CRYPTO_gcm128_encrypt_ctr32,0.9748635072839864
e_aes.c_e_aes.c,aes_ccm_cipher,aes_ccm_cipher,0.9747902852464053
req.c_req.c,prompt_info,prompt_info,0.974646037288682
bio_b64.c_bio_b64.c,b64_read,b64_read,0.9741498759018774
ts_rsp_verify.c_ts_rsp_verify.c,TS_RESP_verify_signature,TS_RESP_verify_signature,0.9740064645545474
x509.c_x509.c,x509_load_serial,x509_load_serial,0.9738537325873433
tasn_dec.c_tasn_dec.c,asn1_check_tlen,asn1_check_tlen,0.9737881671240922
p5_pbev2.c_p5_pbev2.c,PKCS5_pbkdf2_set,PKCS5_pbkdf2_set,0.9737847628531754
bf_buff.c_bf_buff.c,buffer_ctrl,buffer_ctrl,0.9737544875957143
ec2_oct.c_ec2_oct.c,ec_GF2m_simple_oct2point,ec_GF2m_simple_oct2point,0.9735968184598284
ecp_oct.c_ecp_oct.c,ec_GFp_simple_oct2point,ec_GFp_simple_oct2point,0.973316467626375
gcm128.c_gcm128.c,CRYPTO_gcm128_encrypt_ctr32,CRYPTO_gcm128_decrypt_ctr32,0.9733039826936463
bn_nist.c_bn_nist.c,BN_nist_mod_384,BN_nist_mod_384,0.9732098346249772
e_des.c_e_des.c,des_cfb1_cipher,des_cfb1_cipher,0.9731341980580106
ec2_oct.c_ec2_oct.c,ec_GF2m_simple_set_compressed_coordinates,ec_GF2m_simple_set_compressed_coordinates,0.9728514886652588
ec2_oct.c_ecp_oct.c,ec_GF2m_simple_oct2point,ec_GFp_simple_oct2point,0.9726442127739751
ts_rsp_verify.c_ts_rsp_verify.c,TS_check_status_info,ts_check_status_info,0.9724441065760026
pem_pkey.c_pem_pkey.c,PEM_read_bio_PrivateKey,PEM_read_bio_PrivateKey,0.9722040546563866
ectest.c_ectest.c,prime_field_tests,prime_field_tests,0.971666998972963
v3_akey.c_v3_akey.c,v2i_AUTHORITY_KEYID,v2i_AUTHORITY_KEYID,0.9703380043469803
ecp_oct.c_ec2_oct.c,ec_GFp_simple_oct2point,ec_GF2m_simple_oct2point,0.9699517023448371
i_ofb64.c_i_ofb64.c,idea_ofb64_encrypt,IDEA_ofb64_encrypt,0.9698356668017936
req.c_req.c,auto_info,auto_info,0.9695729915109392
bn_blind.c_bn_blind.c,BN_BLINDING_create_param,BN_BLINDING_create_param,0.9695681044981186
a_strex.c_a_strex.c,do_name_ex,do_name_ex,0.9695011041649488
tasn_prn.c_tasn_prn.c,asn1_item_print_ctx,asn1_item_print_ctx,0.9694255342668148
ec_asn1.c_ec_asn1.c,ec_asn1_group2fieldid,ec_asn1_group2fieldid,0.9694019590010274
e_aes.c_e_aes.c,aes_ccm_cipher,aes_ccm_tls_cipher,0.9693629997064686
apps.c_apps.c,load_serial,load_serial,0.9691539933204478
ectest.c_ectest.c,internal_curve_test,internal_curve_test,0.968998823507452
ccm128.c_ccm128.c,CRYPTO_ccm128_encrypt,CRYPTO_ccm128_encrypt,0.9689391052722138
cms_env.c_cms_env.c,cms_RecipientInfo_kekri_decrypt,cms_RecipientInfo_kekri_encrypt,0.968938295901395
ocsp_prn.c_ocsp_prn.c,OCSP_RESPONSE_print,OCSP_RESPONSE_print,0.968673716830114
ccm128.c_ccm128.c,CRYPTO_ccm128_decrypt,CRYPTO_ccm128_decrypt,0.9686294141813667
ec_mult.c_bn_intern.c,compute_wNAF,bn_compute_wNAF,0.9685928925695528
